Drug Induced Liver Injury Rank (DILIrank) Dataset Ver 2.0 | FDA,,,,,,
LTKBID,CompoundName,SeverityClass,LabelSection,vDILI-Concern,Comment,
LT00832,Benzphetamine hydrochloride,0,No match,vNo-DILI-concern,Unchanged,
LT01123,Benztropine mesylate,0,No match,vNo-DILI-concern,Unchanged,
LT01276,Benzylpenicilloyl polylysine,0,No match,vNo-DILI-concern,Unchanged,
LT03636,Berotralstat hydrochloride,3,Adverse reactions,Ambiguous-DILI-concern,New,
LT02189,Betaine,0,No match,vNo-DILI-concern,Unchanged,
LT01132,Betaxolol hydrochloride,3,Adverse reactions,Ambiguous-DILI-concern,Unchanged,
LT00730,Bethanechol chloride,0,No match,vNo-DILI-concern,Unchanged,
LT03798,Betrixaban,0,No match,vNo-DILI-concern,New,
LT01390,Bevacizumab,0,No match,vNo-DILI-concern,Unchanged,
LT01064,Bexarotene,8,Warnings & precautions,vMost-DILI-concern,Unchanged,
LT00056,Bicalutamide,8,Warnings & precautions,vMost-DILI-concern,Unchanged,
LT03637,Binimetinib,3,Warnings & precautions,Ambiguous-DILI-concern,New,
LT00817,Biperiden hydrochloride,0,No match,vNo-DILI-concern,Unchanged,
LT02190,Bisacodyl,0,No match,vNo-DILI-concern,Unchanged,
LT01136,Bisoprolol fumarate,3,Adverse reactions,Ambiguous-DILI-concern,Unchanged,
LT01027,Bivalirudin,0,No match,vNo-DILI-concern,Unchanged,
LT01138,Bleomycin sulfate,3,Warnings & precautions,Ambiguous-DILI-concern,Unchanged,
LT01202,Bortezomib,7,Warnings & precautions,vMost-DILI-concern,Unchanged,
LT01140,Bosentan,7,Box warning,vMost-DILI-concern,Unchanged,
LT02349,Bosutinib monohydrate,4,Warnings & precautions,vMost-DILI-concern,New,
LT01305,Botulinum toxin type a,0,No match,vNo-DILI-concern,Unchanged,
LT01356,Botulinum toxin type b,0,No match,vNo-DILI-concern,Unchanged,
LT03638,Bremelanotide acetate,4,Adverse reactions,Ambiguous-DILI-concern,New,
LT03639,Brexanolone,0,No match,vNo-DILI-concern,New,
LT03640,Brexpiprazole,0,No match,vNo-DILI-concern,New,
LT03641,Brigatinib,3,Adverse reactions,Ambiguous-DILI-concern,New,
LT03868,Brilliant blue g,0,No match,vNo-DILI-concern,New,
LT03643,Brivaracetam,0,No match,vNo-DILI-concern,New,
LT00519,Bromfenac sodium,8,Withdrawn,vMost-DILI-concern,Unchanged,
LT00279,Bromocriptine mesylate,3,Warnings & precautions,vLess-DILI-concern,Unchanged,
LT02076,Brompheniramine maleate,0,No match,vNo-DILI-concern,Unchanged,
LT01144,Budesonide,0,No match,vNo-DILI-concern,Unchanged,
LT01145,Bumetanide,3,Warnings & precautions,Ambiguous-DILI-concern,Unchanged,
LT00058,Bupropion hydrochloride,5,Adverse reactions,vLess-DILI-concern,Unchanged,
LT01148,Buspirone hydrochloride,3,Adverse reactions,Ambiguous-DILI-concern,Unchanged,
LT00280,Busulfan,8,Warnings & precautions,vMost-DILI-concern,Unchanged,
LT00707,Butabarbital sodium,3,Adverse reactions,Ambiguous-DILI-concern,Unchanged,
LT01151,Butorphanol tartrate,0,No match,vNo-DILI-concern,Unchanged,
LT02900,Cabazitaxel,4,Adverse reactions,Ambiguous-DILI-concern,New,
LT01152,Cabergoline,0,No match,vNo-DILI-concern,Unchanged,
LT03644,Cabotegravir sodium,3,Warnings & precautions,Ambiguous-DILI-concern,New,
LT02429,Cabozantinib s-malate,4,Adverse reactions,Ambiguous-DILI-concern,New,
LT01888,Caffeine citrate,0,No match,vNo-DILI-concern,Unchanged,
LT00878,Calcitonin salmon,0,No match,vNo-DILI-concern,Unchanged,
LT00899,Calcitriol,0,No match,vNo-DILI-concern,Unchanged,
LT00947,Calcium acetate,0,No match,vNo-DILI-concern,Unchanged,
